,0
2350,111.0
2352,4.0
2353,48.0
2354,22.0
2355,24.0
2358,18.0
2359,9.0
2360,49.0
2361,7.0
2362,187.0
2364,82.0
2365,32.0
2371,103.0
2372,151.0
2373,458.0
2382,85.0
2383,127.0
2384,57.0
2385,21.0
2386,37.0
2387,20.0
2390,2.0
2392,705.0
2393,35.0
2394,58.0
2396,12.0
2397,88.0
2400,120.0
2402,320.0
2403,203.0
2405,103.0
2406,2635.0
2407,21.0
2409,144.0
2410,252.0
2411,418.0
2412,829.0
2413,1.0
2414,4.0
2415,21.0
2416,52.0
2417,15.0
2419,2.0
2420,85.0
2422,503.0
2424,183.0
2425,594.0
2427,691.0
2428,559.0
2430,139.0
2432,59.0
2433,97.0
2435,15.0
2436,3.0
2437,60.0
2438,137.0
2439,997.0
2440,25.0
2443,84.0
2449,45.0
2451,12.0
2454,16.0
2457,81.0
2459,37.0
2460,235.0
2461,7.0
2464,3.0
2465,2.0
2467,3.0
2468,47.0
2469,5.0
2471,18.0
2473,4.0
2474,168.0
2475,285.0
2476,59.0
2478,794.0
2480,259.0
2481,1095.0
2484,124.0
2485,34.0
2488,433.0
2490,147.0
2492,17.0
2493,682.0
2494,2208.0
2495,541.0
2496,205.0
2497,10.0
2499,68.0
2501,9.0
2502,1.0
2503,3921.0
2504,19.0
2505,8.0
2507,4.0
2510,588.0
2511,4.0
2513,14.0
2514,340.0
2517,7.0
2518,207.0
2520,237.0
2521,18.0
2522,32.0
2525,1.0
2527,6.0
2529,1.0
2530,10.0
2532,7.0
2534,127.0
2536,13.0
2537,433.0
2538,31.0
2540,177.0
2541,11.0
2542,381.0
2543,37.0
2544,8.0
2547,6.0
2549,41.0
2553,1.0
2554,1.0
2558,196.0
2559,62.0
2560,308.0
2562,51.0
2563,17.0
2564,45.0
2565,6.0
2567,11.0
2569,4.0
2571,76.0
2572,2.0
2573,12.0
2579,178.0
2582,5.0
2585,28.0
2586,244.0
2589,1050.0
2591,210.0
2592,3.0
2593,4.0
2594,1.0
2595,14.0
2596,5.0
2600,5.0
2603,78.0
2604,6.0
2606,12.0
2609,264.0
2612,4.0
2620,5.0
2621,151.0
2622,2.0
2623,123.0
2628,18.0
2631,15.0
2633,97.0
2634,3.0
2639,146.0
2641,110.0
2643,179.0
2644,24.0
2646,41.0
2647,9.0
2648,6.0
2650,112.0
2653,16.0
2655,158.0
2657,563.0
2658,118.0
2659,41.0
2661,324.0
2662,46.0
2664,14.0
2665,23.0
2666,4.0
2667,23.0
2668,1.0
2669,56.0
2670,1406.0
2671,119.0
2676,6.0
2678,1.0
2680,216.0
2682,74.0
2683,3.0
2684,11.0
2687,324.0
2691,39.0
2692,1.0
2694,124.0
2697,6.0
2700,35.0
2702,1.0
2709,207.0
2710,10.0
2711,97.0
2712,95.0
2713,169.0
2716,4.0
2717,326.0
2719,17.0
2724,7.0
2726,17.0
2727,14.0
2730,177.0
2731,24.0
2732,5.0
2734,2.0
2735,40.0
2736,91.0
2737,102.0
2739,2547.0
2743,13.0
2744,37.0
2745,101.0
2747,3.0
2749,4.0
2750,147.0
2751,47.0
2752,2.0
2753,16.0
2756,18.0
2758,43.0
2760,20.0
2761,3.0
2766,89.0
2769,6.0
2770,170.0
2771,21.0
2773,6.0
2775,27.0
2776,61.0
2777,348.0
2780,38.0
2785,7.0
2788,407.0
2790,9.0
2796,4.0
2799,643.0
2800,4.0
2801,16.0
2802,4.0
2805,24.0
2806,4.0
2807,210.0
2811,3.0
2812,5.0
2813,11.0
2815,13.0
2816,21.0
2818,17.0
2819,4.0
2820,4.0
2821,41.0
2824,126.0
2826,81.0
2828,8.0
2829,4.0
2831,12.0
2832,22.0
2833,169.0
2835,9.0
2838,317.0
2839,1259.0
2840,21.0
2841,91.0
2843,45.0
2844,5.0
2846,6.0
2848,49.0
2849,1.0
2850,8.0
2851,172.0
2853,2.0
2854,59.0
2855,73.0
2858,80.0
2860,107.0
2861,182.0
2864,25.0
2865,717.0
2866,104.0
2868,16.0
2869,6.0
2871,103.0
2872,867.0
2873,6.0
2876,57.0
2878,21.0
2879,1753.0
2880,9.0
2884,4.0
2886,17.0
2888,54.0
2889,5.0
2891,12.0
2892,12.0
2893,28.0
2895,25.0
2896,41.0
2897,62.0
2898,3.0
2901,89.0
2902,1.0
2904,42.0
2906,174.0
2908,15.0
2909,30.0
2910,462.0
2912,47.0
2914,6.0
2915,40.0
2916,47.0
2917,8.0
2918,850.0
2921,263.0
2923,219.0
2924,4.0
2925,36.0
2926,167.0
2928,548.0
2929,273.0
2930,116.0
2932,84.0
2933,17.0
2934,22.0
2935,156.0
2936,166.0
2937,11.0
2939,1.0
2940,42.0
2941,242.0
2942,101.0
2943,5.0
2947,58.0
2949,284.0
2953,2.0
2954,243.0
2955,4.0
2957,87.0
2958,175.0
2961,6.0
2967,10.0
2968,13.0
2970,108.0
2972,1.0
2977,17.0
2980,80.0
2981,455.0
2988,239.0
2990,654.0
2991,2.0
2992,14.0
2994,178.0
2996,12.0
2997,17.0
2998,2.0
2999,1.0
3002,9.0
3003,18.0
3005,157.0
3006,284.0
3007,63.0
3008,2.0
3010,314.0
3011,57.0
3013,1.0
3015,6.0
3016,9.0
3018,55.0
3019,866.0
3023,4.0
3024,417.0
3025,34.0
3026,2.0
3027,7.0
3029,9.0
3031,3.0
3032,2.0
3033,205.0
3035,66.0
3036,14.0
3038,255.0
3039,80.0
3040,198.0
3042,16.0
3049,9.0
3051,2.0
3053,53.0
3054,12.0
3056,5.0
3057,31.0
3058,45.0
3059,26.0
